"STATISTIC","Statistic Label","TLIST(A1)","Year","C03037V03742","Garda Station","UNIT","VALUE"
"CJA36C01","Fraud, deception & related offences","2024","2024","14101","14101 Ardee, Louth Division","Number","23"
"CJA36C01","Fraud, deception & related offences","2024","2024","34304","34304 Ardfert, Kerry Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","51101","51101 Ardfinnan, Tipperary Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","54103","54103 Ardmore, Waterford Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","35201","35201 Ardnacrusha, Limerick Division","Number","15"
"CJA36C01","Fraud, deception & related offences","2024","2024","23401","23401 Ardrahan, Galway Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","43301","43301 Arklow, Wicklow Division","Number","29"
"CJA36C01","Fraud, deception & related offences","2024","2024","41202","41202 Arles, Laois/Offaly Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","11401","11401 Arva, Cavan/Monaghan Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","42101","42101 Ashbourne, Meath Division","Number","86"
"CJA36C01","Fraud, deception & related offences","2024","2024","43302","43302 Ashford, Wicklow Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","35303","35303 Askeaton, Limerick Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","35304","35304 Athea, Limerick Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","23302","23302 Athenry, Galway Division","Number","22"
"CJA36C01","Fraud, deception & related offences","2024","2024","24501","24501 Athleague, Roscommon/Longford Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","44101","44101 Athlone, Westmeath Division","Number","104"
"CJA36C01","Fraud, deception & related offences","2024","2024","45101","45101 Athy, Kildare Division","Number","33"
"CJA36C01","Fraud, deception & related offences","2024","2024","43303","43303 Aughrim, Wicklow Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","43304","43304 Avoca, Wicklow Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","42201","42201 Baile Atha Bui, Meath Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","34305","34305 Baile an Fheirtéaraigh, Kerry Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","33502","33502 Baile Bhuirne, Cork West Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","11101","11101 Bailieboro, Cavan/Monaghan Division","Number","15"
"CJA36C01","Fraud, deception & related offences","2024","2024","63101","63101 Balbriggan, D.M.R. Northern Division","Number","106"
"CJA36C01","Fraud, deception & related offences","2024","2024","22301","22301 Balla, Mayo Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","24201","24201 Ballaghderreen, Roscommon/Longford Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","22201","22201 Ballina, Mayo Division","Number","25"
"CJA36C01","Fraud, deception & related offences","2024","2024","11402","11402 Ballinagh, Cavan/Monaghan Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","13201","13201 Ballinamore, Sligo/Leitrim Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","23102","23102 Ballinasloe, Galway Division","Number","28"
"CJA36C01","Fraud, deception & related offences","2024","2024","31201","31201 Ballincollig, Cork City Division","Number","37"
"CJA36C01","Fraud, deception & related offences","2024","2024","22401","22401 Ballindine, Mayo Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","33101","33101 Ballineen, Cork West Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","51302","51302 Ballingarry North, Tipperary Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","51501","51501 Ballingarry South, Tipperary Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","35305","35305 Ballingarry, Limerick Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","33102","33102 Ballinhassig, Cork West Division","Number","12"
"CJA36C01","Fraud, deception & related offences","2024","2024","24202","24202 Ballinlough, Roscommon/Longford Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","22402","22402 Ballinrobe, Mayo Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","12101","12101 Ballintra, Donegal Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","42401","42401 Ballivor, Meath Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","53101","53101 Ballon, Kilkenny/Carlow Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","11301","11301 Ballybay, Cavan/Monaghan Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","12301","12301 Ballybofey, Donegal Division","Number","19"
"CJA36C01","Fraud, deception & related offences","2024","2024","34201","34201 Ballybunion, Kerry Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","11201","11201 Ballyconnell, Cavan/Monaghan Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","32401","32401 Ballycotton, Cork North Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","22102","22102 Ballycroy, Mayo Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","52301","52301 Ballycullane, Wexford Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","33202","33202 Ballydehob, Cork West Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","33401","33401 Ballydesmond, Cork West Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","34202","34202 Ballyduff, Co. Kerry, Kerry Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","66201","66201 Ballyfermot, D.M.R. Western Division","Number","85"
"CJA36C01","Fraud, deception & related offences","2024","2024","23103","23103 Ballygar, Galway Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","53301","53301 Ballyhale, Kilkenny/Carlow Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","22501","22501 Ballyhaunis, Mayo Division","Number","11"
"CJA36C01","Fraud, deception & related offences","2024","2024","34203","34203 Ballyheigue, Kerry Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","11102","11102 Ballyjamesduff, Cavan/Monaghan Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","35101","35101 Ballylanders, Limerick Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","41205","41205 Ballylinan, Laois/Offaly Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","54105","54105 Ballymacarberry, Waterford Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","24407","24407 Ballymahon, Roscommon/Longford Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","44103","44103 Ballymore, Westmeath Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","13103","13103 Ballymote, Sligo/Leitrim Division","Number","12"
"CJA36C01","Fraud, deception & related offences","2024","2024","63201","63201 Ballymun, D.M.R. Northern Division","Number","67"
"CJA36C01","Fraud, deception & related offences","2024","2024","44201","44201 Ballynacargy, Westmeath Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","35401","35401 Ballyneety, Limerick Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","32201","32201 Ballynoe, Cork North Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","51102","51102 Ballyporeen, Tipperary Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","12102","12102 Ballyshannon, Donegal Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","21201","21201 Ballyvaughan, Clare Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","33302","33302 Baltimore, Cork West Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","43101","43101 Baltinglass, Wicklow Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","41101","41101 Banagher, Laois/Offaly Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","33105","33105 Bandon, Cork West Division","Number","31"
"CJA36C01","Fraud, deception & related offences","2024","2024","22103","22103 Bangor Erris, Mayo Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","51601","51601 Bansha, Tipperary Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","33203","33203 Bantry, Cork West Division","Number","16"
"CJA36C01","Fraud, deception & related offences","2024","2024","23802","23802 Barnaderg, Galway Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","34102","34102 Barraduff, Kerry Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","33501","33501 Béal atha an Ghaorthaidh, Cork West Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","22104","22104 Béal an Mhuirthead, Mayo Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","11203","11203 Belturbet, Cavan/Monaghan Division","Number","15"
"CJA36C01","Fraud, deception & related offences","2024","2024","53302","53302 Bennettsbridge, Kilkenny/Carlow Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","41102","41102 Birr, Laois/Offaly Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","31401","31401 Bishopstown, Cork City Division","Number","41"
"CJA36C01","Fraud, deception & related offences","2024","2024","11204","11204 Blacklion, Cavan/Monaghan Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","31104","31104 Blackrock, Co Cork, Cork City Division","Number","34"
"CJA36C01","Fraud, deception & related offences","2024","2024","65101","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Number","88"
"CJA36C01","Fraud, deception & related offences","2024","2024","14301","14301 Blackrock, Co Louth, Louth Division","Number","21"
"CJA36C01","Fraud, deception & related offences","2024","2024","52101","52101 Blackwater, Wexford Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","66101","66101 Blanchardstown, D.M.R. Western Division","Number","340"
"CJA36C01","Fraud, deception & related offences","2024","2024","31202","31202 Blarney, Cork City Division","Number","14"
"CJA36C01","Fraud, deception & related offences","2024","2024","43102","43102 Blessington, Wicklow Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","33402","33402 Boherbue, Cork West Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","22203","22203 Bonniconlon, Mayo Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","53102","53102 Borris, Kilkenny/Carlow Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","41206","41206 Borris-In-Ossory, Laois/Offaly Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","51303","51303 Borrisokane, Tipperary Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","51401","51401 Borrisoleigh, Tipperary Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","23603","23603 Bothar Na Tra, Galway Division","Number","41"
"CJA36C01","Fraud, deception & related offences","2024","2024","24101","24101 Boyle, Roscommon/Longford Division","Number","12"
"CJA36C01","Fraud, deception & related offences","2024","2024","43201","43201 Bray, Wicklow Division","Number","92"
"CJA36C01","Fraud, deception & related offences","2024","2024","31105","31105 Bridewell Cork, Cork City Division","Number","32"
"CJA36C01","Fraud, deception & related offences","2024","2024","62101","62101 Bridewell Dublin, D.M.R. North Central Division","Number","96"
"CJA36C01","Fraud, deception & related offences","2024","2024","35102","35102 Bruff, Limerick Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","35103","35103 Bruree, Limerick Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","52201","52201 Bunclody, Wexford Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","12201","12201 Buncrana, Donegal Division","Number","19"
"CJA36C01","Fraud, deception & related offences","2024","2024","12103","12103 Bundoran, Donegal Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","12202","12202 Burnfoot, Donegal Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","32301","32301 Buttevant, Cork North Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","65201","65201 Cabinteely, D.M.R. Eastern Division","Number","65"
"CJA36C01","Fraud, deception & related offences","2024","2024","66102","66102 Cabra, D.M.R. Western Division","Number","55"
"CJA36C01","Fraud, deception & related offences","2024","2024","34104","34104 Caherciveen, Kerry Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","35402","35402 Caherconlish, Limerick Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","51103","51103 Cahir, Tipperary Division","Number","11"
"CJA36C01","Fraud, deception & related offences","2024","2024","53202","53202 Callan, Kilkenny/Carlow Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","52303","52303 Campile, Wexford Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","35104","35104 Cappamore, Limerick Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","51602","51602 Cappawhite, Tipperary Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","54106","54106 Cappoquin, Waterford Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","45201","45201 Carbury, Kildare Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","14302","14302 Carlingford, Louth Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","53103","53103 Carlow, Kilkenny/Carlow Division","Number","65"
"CJA36C01","Fraud, deception & related offences","2024","2024","23202","23202 Carna, Galway Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","12203","12203 Carndonagh, Donegal Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","43103","43103 Carnew, Wicklow Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","12403","12403 Carraig Airt, Donegal Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","52304","52304 Carrickbyrne, Wexford Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","11302","11302 Carrickmacross, Cavan/Monaghan Division","Number","28"
"CJA36C01","Fraud, deception & related offences","2024","2024","52305","52305 Carrick-on-Bannow, Wexford Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","13202","13202 Carrick-On-Shannon, Sligo/Leitrim Division","Number","27"
"CJA36C01","Fraud, deception & related offences","2024","2024","51201","51201 Carrick-On-Suir, Tipperary Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","512015","512015 Carrig na Bhfear, Cork City Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","31402","31402 Carrigaline, Cork City Division","Number","29"
"CJA36C01","Fraud, deception & related offences","2024","2024","13203","13203 Carrigallen, Sligo/Leitrim Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","12302","12302 Carrigans, Donegal Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","32102","32102 Carrigtwohill, Cork North Division","Number","17"
"CJA36C01","Fraud, deception & related offences","2024","2024","51104","51104 Cashel, Tipperary Division","Number","11"
"CJA36C01","Fraud, deception & related offences","2024","2024","22304","22304 Castlebar, Mayo Division","Number","49"
"CJA36C01","Fraud, deception & related offences","2024","2024","14102","14102 Castlebellingham, Louth Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","11303","11303 Castleblayney, Cavan/Monaghan Division","Number","19"
"CJA36C01","Fraud, deception & related offences","2024","2024","52402","52402 Castlebridge, Wexford Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","53203","53203 Castlecomer, Kilkenny/Carlow Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","35202","35202 Castleconnell, Limerick Division","Number","22"
"CJA36C01","Fraud, deception & related offences","2024","2024","45103","45103 Castledermot, Kildare Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","12303","12303 Castlefin, Donegal Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","34307","34307 Castlegregory, Kerry Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","34308","34308 Castleisland, Kerry Division","Number","15"
"CJA36C01","Fraud, deception & related offences","2024","2024","34309","34309 Castlemaine, Kerry Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","44202","44202 Castlepollard, Westmeath Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","24204","24204 Castlerea, Roscommon/Longford Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","33204","33204 Castletownbere, Cork West Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","32202","32202 Castletownroche, Cork North Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","11403","11403 Cavan, Cavan/Monaghan Division","Number","74"
"CJA36C01","Fraud, deception & related offences","2024","2024","45202","45202 Celbridge, Kildare Division","Number","39"
"CJA36C01","Fraud, deception & related offences","2024","2024","22502","22502 Charlestown, Mayo Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","32302","32302 Charleville, Cork North Division","Number","16"
"CJA36C01","Fraud, deception & related offences","2024","2024","23604","23604 Cill Ronain, Galway Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","45302","45302 Clane, Kildare Division","Number","23"
"CJA36C01","Fraud, deception & related offences","2024","2024","41301","41301 Clara, Laois/Offaly Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","22403","22403 Claremorris, Mayo Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","23203","23203 Clifden, Galway Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","23204","23204 Cloch na Ron, Galway Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","41103","41103 Cloghan, Co. Offaly, Laois/Offaly Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","51105","51105 Clogheen, Co. Tipperary, Tipperary Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","12508","12508 Clogher, Donegal Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","14201","14201 Clogherhead, Louth Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","33304","33304 Clonakilty, Cork West Division","Number","20"
"CJA36C01","Fraud, deception & related offences","2024","2024","24503","24503 Clonark, Roscommon/Longford Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","41207","41207 Clonaslee, Laois/Offaly Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","41302","41302 Clonbologue, Laois/Offaly Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","66202","66202 Clondalkin, D.M.R. Western Division","Number","127"
"CJA36C01","Fraud, deception & related offences","2024","2024","11501","11501 Clones, Cavan/Monaghan Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","12204","12204 Clonmany, Donegal Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","51202","51202 Clonmel, Tipperary Division","Number","44"
"CJA36C01","Fraud, deception & related offences","2024","2024","52102","52102 Clonroche, Wexford Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","63401","63401 Clontarf, D.M.R. Northern Division","Number","95"
"CJA36C01","Fraud, deception & related offences","2024","2024","51304","51304 Cloughjordan, Tipperary Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","32402","32402 Cloyne, Cork North Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","33503","33503 Coachford, Cork West Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","32103","32103 Cobh, Cork North Division","Number","19"
"CJA36C01","Fraud, deception & related offences","2024","2024","14103","14103 Collon, Louth Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","13302","13302 Collooney, Sligo/Leitrim Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","22404","22404 Cong, Mayo Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","12304","12304 Convoy, Donegal Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","13303","13303 Coolaney, Sligo/Leitrim Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","63301","63301 Coolock, D.M.R. Northern Division","Number","127"
"CJA36C01","Fraud, deception & related offences","2024","2024","11103","11103 Cootehill, Cavan/Monaghan Division","Number","10"
"CJA36C01","Fraud, deception & related offences","2024","2024","21203","21203 Corofin Co. Clare, Clare Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","23803","23803 Corofin Co. Galway, Galway Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","52202","52202 Courtown Harbour, Wexford Division","Number","12"
"CJA36C01","Fraud, deception & related offences","2024","2024","23402","23402 Craughwell, Galway Division","Number","11"
"CJA36C01","Fraud, deception & related offences","2024","2024","23104","23104 Creggs, Galway Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","33504","33504 Crookstown, Cork West Division","Number","8"
"CJA36C01","Fraud, deception & related offences","2024","2024","35307","35307 Croom, Limerick Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","31403","31403 Crosshaven, Cork City Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","22204","22204 Crossmolina, Mayo Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","64101","64101 Crumlin, D.M.R. Southern Division","Number","80"
"CJA36C01","Fraud, deception & related offences","2024","2024","21101","21101 Crusheen, Clare Division","Number","3"
"CJA36C01","Fraud, deception & related offences","2024","2024","41303","41303 Daingean, Laois/Offaly Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","44204","44204 Delvin, Westmeath Division","Number","6"
"CJA36C01","Fraud, deception & related offences","2024","2024","34310","34310 Dingle, Kerry Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","51305","51305 Dolla, Tipperary Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","12104","12104 Donegal Town, Donegal Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","32303","32303 Doneraile, Cork North Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","61101","61101 Donnybrook, D.M.R. South Central Division","Number","122"
"CJA36C01","Fraud, deception & related offences","2024","2024","31404","31404 Douglas, Cork City Division","Number","49"
"CJA36C01","Fraud, deception & related offences","2024","2024","11205","11205 Dowra, Cavan/Monaghan Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","33205","33205 Drimoleague, Cork West Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","33305","33305 Drinagh, Cork West Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","14202","14202 Drogheda, Louth Division","Number","164"
"CJA36C01","Fraud, deception & related offences","2024","2024","14303","14303 Drumad, Louth Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","35308","35308 Drumcollogher, Limerick Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","24303","24303 Drumlish, Roscommon/Longford Division","Number","7"
"CJA36C01","Fraud, deception & related offences","2024","2024","13206","13206 Drumshambo, Sligo/Leitrim Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","63202","63202 Dublin Airport, D.M.R. Northern Division","Number","28"
"CJA36C01","Fraud, deception & related offences","2024","2024","42102","42102 Duleek, Meath Division","Number","13"
"CJA36C01","Fraud, deception & related offences","2024","2024","12404","12404 Dun Fionnachaid, Donegal Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","65203","65203 Dun Laoghaire, D.M.R. Eastern Division","Number","138"
"CJA36C01","Fraud, deception & related offences","2024","2024","42103","42103 Dunboyne, Meath Division","Number","30"
"CJA36C01","Fraud, deception & related offences","2024","2024","52306","52306 Duncannon, Wexford Division","Number","9"
"CJA36C01","Fraud, deception & related offences","2024","2024","14304","14304 Dundalk, Louth Division","Number","122"
"CJA36C01","Fraud, deception & related offences","2024","2024","65102","65102 Dundrum, D.M.R. Eastern Division","Number","177"
"CJA36C01","Fraud, deception & related offences","2024","2024","54107","54107 Dungarvan, Waterford Division","Number","47"
"CJA36C01","Fraud, deception & related offences","2024","2024","43105","43105 Dunlavin, Wicklow Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","14203","14203 Dunleer, Louth Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","33306","33306 Dunmanway, Cork West Division","Number","12"
"CJA36C01","Fraud, deception & related offences","2024","2024","54301","54301 Dunmore East, Waterford Division","Number","5"
"CJA36C01","Fraud, deception & related offences","2024","2024","23804","23804 Dunmore, Galway Division","Number","2"
"CJA36C01","Fraud, deception & related offences","2024","2024","42104","42104 Dunshaughlin, Meath Division","Number","21"
"CJA36C01","Fraud, deception & related offences","2024","2024","41208","41208 Durrow, Laois/Offaly Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","33206","33206 Durrus, Cork West Division","Number","1"
"CJA36C01","Fraud, deception & related offences","2024","2024","41304","41304 Edenderry, Laois/Offaly Division","Number","18"
"CJA36C01","Fraud, deception & related offences","2024","2024","24304","24304 Edgeworthstown, Roscommon/Longford Division","Number","14"
"CJA36C01","Fraud, deception & related offences","2024","2024","24103","24103 Elphin, Roscommon/Longford Division","Number","4"
"CJA36C01","Fraud, deception & related offences","2024","2024","51604","51604 Emly, Tipperary Division","Number",""
"CJA36C01","Fraud, deception & related offences","2024","2024","11503","11503 Emyvale, Cavan/Monaghan Division","Number","11"
"CJA36C01","Fraud, deception & related offences","2024","2024","42402","42402 Enfield, Meath Division","Number","18"
"CJA36C01","Fraud, deception & related offences","2024","2024","21102","21102 Ennis, Clare Division","Number","95"
